timestamp_seconds,table_id,filename,frame_state,final_state,visible_people,active_dining,cleaning_action,used_dishes_or_leftovers,personal_items_or_food_remaining,confidence,frame_reason,temporal_reason
0,T01,T01_0000.jpg,DINING,DINING,True,True,False,True,False,0.9,A person is visibly present and actively eating at the table with food and dishes.,사람이 보이고 식사 행동이 감지되어 식사 중으로 판단함.
0,T02,T02_0000.jpg,UNCERTAIN,UNCERTAIN,False,False,False,False,False,0.9,"The image shows an empty table with chairs. There are no people visible, no signs of dining, cleaning, or any items left behind. Therefore, the frame state is uncertain.","식사 중, 식사 후, 청소 중으로 판단할 충분한 근거가 없음."
0,T03,T03_0000.jpg,DINING,DINING,True,True,False,False,False,0.95,"Two people are visible and appear to be actively dining. There are no signs of cleaning actions, used dishes, leftovers, or personal items that would suggest otherwise.",사람이 보이고 식사 행동이 감지되어 식사 중으로 판단함.
0,T04,T04_0000.jpg,UNCERTAIN,UNCERTAIN,True,False,False,False,False,0.9,"There are people visible in the frame, but their activity is unclear. The tables appear empty and there are no visible signs of dining, cleaning, or personal items left behind. Therefore, the state is uncertain.",사람은 보이지만 식사 중인지 청소 중인지 명확하지 않아 판정 보류.
0,T05,T05_0000.jpg,DINING,DINING,True,True,False,True,False,0.9,A person is visible and appears to be dining at a table with used dishes.,사람이 보이고 식사 행동이 감지되어 식사 중으로 판단함.
10,T01,T01_0010.jpg,DINING,DINING,True,True,False,True,False,0.95,The image shows a person actively eating at a table with food and a drink.,사람이 보이고 식사 행동이 감지되어 식사 중으로 판단함.
10,T02,T02_0010.jpg,UNCERTAIN,UNCERTAIN,False,False,False,False,False,0.9,"There are no people visible in the image, and the table appears to be empty with no dishes or personal items. Thus, it is uncertain what the state of the frame is.","식사 중, 식사 후, 청소 중으로 판단할 충분한 근거가 없음."
10,T03,T03_0010.jpg,DINING,DINING,True,True,False,True,False,0.9,"Two people are visible. One person is seated and appears to be dining, and there are used dishes and food remnants on the table. There is no visible cleaning action. Personal items are not clearly visible to indicate a potential return, but the presence of dining activity makes 'DINING' the most appropriate state.",사람이 보이고 식사 행동이 감지되어 식사 중으로 판단함.
10,T04,T04_0010.jpg,UNCERTAIN,UNCERTAIN,True,False,False,False,False,0.5,The image shows people but it is unclear if they are dining or if there are any dishes or leftovers present. The tables are mostly empty or obscured.,사람은 보이지만 식사 중인지 청소 중인지 명확하지 않아 판정 보류.
10,T05,T05_0010.jpg,DINING,DINING,True,True,False,True,True,0.9,"A person is visible and appears to be dining. There are used dishes and personal items on the table, indicating an active dining state.",사람이 보이고 식사 행동이 감지되어 식사 중으로 판단함.
20,T01,T01_0020.jpg,DINING,DINING,True,True,False,True,False,0.95,A person is actively eating at the table with food and dishes present.,사람이 보이고 식사 행동이 감지되어 식사 중으로 판단함.
20,T02,T02_0020.jpg,UNCERTAIN,UNCERTAIN,True,False,False,False,False,0.9,"There are people visible, but their activity is unclear, and the table appears empty. It's not possible to determine if dining is active, cleaning is in progress, or if it's an after-meal state without more information.",사람은 보이지만 식사 중인지 청소 중인지 명확하지 않아 판정 보류.
20,T03,T03_0020.jpg,DINING,DINING,True,True,False,True,True,0.85,"A person is visibly seated at a table, actively engaged in dining. There are dishes and possibly food on the table, indicating dining is in progress or has recently occurred. Personal items are also visible, suggesting the person may return or the dining experience is not yet complete.",사람이 보이고 식사 행동이 감지되어 식사 중으로 판단함.
20,T04,T04_0020.jpg,UNCERTAIN,UNCERTAIN,True,False,False,False,False,0.8,"There is a person visible, but it is unclear if they are dining or if the table has been used. The image quality is low.",사람은 보이지만 식사 중인지 청소 중인지 명확하지 않아 판정 보류.
20,T05,T05_0020.jpg,DINING,DINING,True,True,False,True,False,0.9,A person is visible and appears to be actively dining. There are used dishes or leftovers on the table.,사람이 보이고 식사 행동이 감지되어 식사 중으로 판단함.
30,T01,T01_0030.jpg,DINING,DINING,True,True,False,True,False,0.9,"The image shows a person actively eating at a table with food and dishes present. There are no signs of cleaning actions, and the person appears to be dining.",사람이 보이고 식사 행동이 감지되어 식사 중으로 판단함.
30,T02,T02_0030.jpg,UNCERTAIN,UNCERTAIN,True,False,False,False,False,0.8,"The image shows a person, but no active dining or cleaning actions are visible. The table appears empty, making it difficult to determine the state without further context. Therefore, it is classified as UNCERTAIN.",사람은 보이지만 식사 중인지 청소 중인지 명확하지 않아 판정 보류.
30,T03,T03_0030.jpg,DINING,DINING,True,True,False,True,True,0.9,"A person is seated at a table with food and drinks, actively eating.",사람이 보이고 식사 행동이 감지되어 식사 중으로 판단함.
30,T04,T04_0030.jpg,UNCERTAIN,UNCERTAIN,True,False,False,False,False,0.9,"The image quality is poor and it is difficult to determine if there are any dining activities or items on the tables. A person is visible in the foreground, but their activity is unclear.",사람은 보이지만 식사 중인지 청소 중인지 명확하지 않아 판정 보류.
30,T05,T05_0030.jpg,DINING,DINING,True,True,False,True,True,0.9,A person is visible and appears to be dining at a table with used dishes and personal items present.,사람이 보이고 식사 행동이 감지되어 식사 중으로 판단함.
40,T01,T01_0040.jpg,DINING,DINING,True,True,False,True,False,0.9,A person is visible and actively eating at a table with food and used dishes present.,사람이 보이고 식사 행동이 감지되어 식사 중으로 판단함.
40,T02,T02_0040.jpg,UNCERTAIN,UNCERTAIN,True,False,False,False,False,0.9,"There are people present, but their actions are unclear. The table is empty, and no cleaning is evident. Therefore, the state is uncertain.",사람은 보이지만 식사 중인지 청소 중인지 명확하지 않아 판정 보류.
40,T03,T03_0040.jpg,DINING,DINING,True,True,False,True,True,0.9,"There are two people visible, one of whom appears to be dining. There are used dishes and personal items on the table. No cleaning actions are evident.",사람이 보이고 식사 행동이 감지되어 식사 중으로 판단함.
